dataset,method,k_pct,coverage,purity_induced,auc_purity,yield_b100,n_cases,time_s
Libra_Bank,BTCS_v3,0.01,0.9865,0.1027,0.2735,0.776,432,0.7
Libra_Bank,BTCS_v3,0.05,0.9775,0.0406,0.0848,0.864,1732,3.8
Libra_Bank,BTCS_v3,0.1,0.9752,0.0283,0.0442,0.8933,2769,10.1
Libra_Bank,B0_Random,0.01,0.4865,0.2529,0.1268,0.2423,119,0.0
Libra_Bank,B0_Random,0.05,0.4279,0.0652,0.0395,0.1165,597,0.0
Libra_Bank,B0_Random,0.1,0.3401,0.0278,0.0212,0.03,1194,0.1
Libra_Bank,B1_WCC,0.01,1.0,0.3423,0.4767,0.776,386,0.0
Libra_Bank,B1_WCC,0.05,0.8176,0.126,0.3807,0.864,1094,0.1
Libra_Bank,B1_WCC,0.1,0.6284,0.0584,0.3409,0.8933,1986,0.2
Libra_Bank,B2_Louvain,0.01,0.9955,0.1011,0.2691,0.7185,424,0.0
Libra_Bank,B2_Louvain,0.05,0.9392,0.0466,0.0887,0.864,1158,0.1
Libra_Bank,B2_Louvain,0.1,0.8784,0.0318,0.0453,0.8933,2063,0.2
Libra_Bank,B3_Greedy,0.01,0.946,0.0019,0.01,0.079,3062,716.8
