dataset,method,k%,coverage,purity_induced,yield_b100,auc_purity,n_cases,time_s
elliptic_plus,BTCS_v3,1%,0.4998780586944151,0.862533314630383,1.0,0.9387966323570583,2866,2.8830084319924936
elliptic_plus,B0_Random,1%,0.11755141858385497,0.5372136222910217,0.6814084507042253,0.8896133148964402,573,0.353838620998431
elliptic_plus,B1_WCC,1%,0.20017342763460966,0.9097290640394089,1.0,0.9565268901580493,1329,0.6584436619887128
elliptic_plus,B2_Louvain,1%,0.3411375768907677,0.9368906750018605,1.0,0.9648256073736728,1393,0.4720908149902243
elliptic_plus,B3_Greedy,1%,0.7793133349592174,0.13968341857426647,0.16831683168316833,0.30489989381091775,3737,35.824459194001975
elliptic_plus,BTCS_v3,5%,0.43354198845622305,0.13992233824841266,0.96,0.5195550694875313,28985,15.643542720004916
elliptic_plus,B0_Random,5%,0.11172533398368696,0.0747434828323846,0.41400000000000003,0.25515300375004346,2868,0.7763500119908713
elliptic_plus,B1_WCC,5%,0.09912473240657942,0.05648374046508755,0.97,0.4482118286935926,24572,1.8699054790195078
elliptic_plus,B2_Louvain,5%,0.2587594504511828,0.1251031717957788,0.97,0.5260413284338677,24695,2.4925848340208177
elliptic_plus,B3_Greedy,5%,0.7879576186217923,0.026162997326835923,0.16831683168316833,0.16376872896496322,22285,371.0330764820101
paysim,BTCS_v3,1%,0.20186915887850468,0.0108,0.6,0.03607096167434472,7144,0.39709040298475884
paysim,B0_Random,1%,0.17757009345794392,0.013281140780092269,0.05618556701030927,0.017064068337843533,200,0.1267562459979672
paysim,B1_WCC,1%,0.20186915887850468,0.0108,0.6,0.03607096167434472,7144,0.15874455100856721
paysim,B2_Louvain,1%,0.20186915887850468,0.0108,0.6,0.03607096167434472,7144,0.3692129830014892
paysim,BTCS_v3,5%,0.3233644859813084,0.00346,0.6,0.011814400069783902,25658,0.5456551639945246
paysim,B0_Random,5%,0.24485981308411214,0.005102438264391992,0.03,0.006335422684997464,1000,0.1751577449904289
paysim,B1_WCC,5%,0.3233644859813084,0.00346,0.6,0.011814400069783902,25658,0.34424906500498764
paysim,B2_Louvain,5%,0.3233644859813084,0.00346,0.6,0.011814400069783902,25658,0.42434594401856884
