n_cases,fraud_coverage,partition_coverage,yield_b100,auc_purity,edges_max,edges_median,noise,method
4712,0.9425414364640884,0.9883364027010436,1.0,0.6862998030398547,232.0,1.0,0.0,HGS_v1_baseline
4712,0.9425414364640884,0.9883364027010436,1.0,0.6862998030398547,232.0,1.0,0.0,HGS_v2_NC
4677,0.9430325352977287,0.989073050951504,1.0,0.6873320332492878,228.0,1.0,0.1,HGS_v1_baseline
4677,0.9430325352977287,0.989073050951504,1.0,0.6873320332492878,228.0,1.0,0.1,HGS_v2_NC
4672,0.9421731123388581,0.9879680785758134,1.0,0.6876534050882956,228.0,1.0,0.2,HGS_v1_baseline
4672,0.9421731123388581,0.9879680785758134,1.0,0.6876534050882956,228.0,1.0,0.2,HGS_v2_NC
4673,0.9424186617556783,0.9879680785758134,1.0,0.6868993057288502,223.0,1.0,0.3,HGS_v1_baseline
4673,0.9424186617556783,0.9879680785758134,1.0,0.6868993057288502,223.0,1.0,0.3,HGS_v2_NC
7507,0.539963167587477,0.539963167587477,1.0,0.4949559669122862,117.0,1.0,0.5,HGS_v1_baseline
7507,0.539963167587477,0.539963167587477,1.0,0.4949559669122862,117.0,1.0,0.5,HGS_v2_NC
8645,0.26433394720687536,0.26433394720687536,1.0,0.3249768152995717,55.0,1.0,0.7,HGS_v1_baseline
8645,0.26433394720687536,0.26433394720687536,1.0,0.3249768152995717,55.0,1.0,0.7,HGS_v2_NC
9076,0.05156537753222836,0.05156537753222836,0.0,0.031898061424607625,55.0,1.0,1.0,HGS_v1_baseline
9076,0.05156537753222836,0.05156537753222836,0.0,0.031898061424607625,55.0,1.0,1.0,HGS_v2_NC
